Rank,Cliente_BM,Empresa,Categoria,Gerencia_Obra,Cidade_Sede,Dist_Louveira_km,Telefone,Site,Avaliacao,Qtd_Avaliacoes,Score_ICP,Faixa_ICP,Score_Motivo,Endereco,Google_Maps,Nome_Decisor,Email,Status_Prospeccao,Observacoes
10,,Arquitetura e Construção Juliana Zamboni,Arquitetura,Sim (indicio no nome),Itatiba,27,(11) 4534-0837,http://www.julianazamboni.com/,5,8,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"Av. Sen. Lacerda Franco, 254 - Centro, Itatiba - SP, 13250-400",https://maps.google.com/?cid=5958762505600712835&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
11,,Eraa Engenharia e Arquitetura,Arquitetura,Sim (indicio no nome),Itatiba,27,(11) 4487-7364,http://eraa.com.br/,4.7,11,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"R. Firenze, 184 - Giardino, Itatiba - SP, 13256-231",https://maps.google.com/?cid=15503051389128318256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
12,,Galvão Consolin - Arquitetura e Engenharia,Arquitetura,Sim (indicio no nome),Itatiba,27,(11) 4894-6050,http://www.galvaoconsolin.com.br/,4.5,6,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"Rod. Eng. Constâncio Cintra, 551 - J42 - Jardim Virginia, Itatiba - SP, 13252-200",https://maps.google.com/?cid=6315480931215181688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
13,,Piu Arquitetura e Construção,Arquitetura,Sim (indicio no nome),Itatiba,27,(11) 96103-2323,http://piuarquiteturaeconstrucao.com.br/,4.8,6,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"R. Antônio Ferraz Costa, 101 - Vila Mutton, Itatiba - SP, 13251-460",https://maps.google.com/?cid=9360928204587502399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
14,,Lorena Campos Arquitetura e Construção,Arquitetura,Sim (indicio no nome),Itupeva,22,(11) 96187-1664,https://www.lorenacampos.com.br/escritorio-de-arquitetura-em-itupeva/,4.9,39,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 22km +10; site +10; tel +5; reputacao +5,"Av. Guanabara, 140 - Sl 02 - Jardim Sao Vicente, Itupeva - SP, 13295-090",https://maps.google.com/?cid=11846604377527409960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
15,,RC2 Arquitetura e Construção,Arquitetura,Sim (indicio no nome),Itupeva,22,(11) 95871-3467,https://construtoraecampos.com.br/lp/,4.8,18,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 22km +10; site +10; tel +5; reputacao +5,"Rodovia Vice Prefeito Hermenegildo Tonoli, 469 – CEP: 13295-000 - Região Metropolitana de Jundiaí, Itupeva - SP, 13295-000",https://maps.google.com/?cid=166902027927484720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
16,,Amanda Ferraz Arquitetura e Construção,Arquitetura,Sim (indicio no nome),Jundiai,18,(11) 94076-1458,https://lp.arqamandaferraz.com/,4.5,19,74,A - abordar primeiro,Arquitetura +32; gerencia obra +12; 18km +10; site +10; tel +5; reputacao +5,"R. Cap. Cassiano Ricardo de Toledo, 191 - Sl 1310 - Chácara Urbana, Jundiaí - SP, 13201-840",https://maps.google.com/?cid=18239773079288394512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
17,,Casa Verde Construção e Acabamento,Construtora,Sim (indicio no nome),Itatiba,27,(11) 4210-6768,http://www.casaverdenet.com.br/,4.6,128,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"Av. Luiz E. Bianchi, 350 - Jardim de Lucca, Itatiba - SP, 13255-170",https://maps.google.com/?cid=5325591197796635860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
18,,Quero Engenharia e Construções,Construtora,Sim (indicio no nome),Itatiba,27,(11) 97396-4792,https://queroconstrucoes.com.br/,5,12,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"Praxx Business - Av. Expedicionários Brasileiros, 333 - Vila Brasileira, Itatiba - SP, 13256-400",https://maps.google.com/?cid=6514450999151241514&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
19,,Santa Odila Material de Construção,Construtora,Sim (indicio no nome),Itatiba,27,(11) 4524-6617,http://www.santaodila.com.br/,4.6,131,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"Av. Benedito Alves Barbosa Sobrinho, 810 - Bairro das Brotas, Itatiba - SP, 13256-580",https://maps.google.com/?cid=16612751884465944153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
20,,Villa Engenharia e Construções,Construtora,Sim (indicio no nome),Itatiba,27,(11) 99606-0259,http://www.villaeng.com.br/,4.8,25,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 27km +10; site +10; tel +5; reputacao +5,"Avenida Expedicionários Brasileiros, 333 Sala 1005 - Praxx - Vila Brasileira, Itatiba - SP, 13256-400",https://maps.google.com/?cid=16233365054853646519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
21,,Habitar Engenharia e Construções,Construtora,Sim (indicio no nome),Itupeva,22,(11) 4496-1120,https://www.facebook.com/habitaritupeva/,5,5,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 22km +10; site +10; tel +5; reputacao +5,"Rua Rachel Del Acqua Marchi, 161 - sala 2 - Jardim Primavera, Itupeva - SP, 13295-000",https://maps.google.com/?cid=10025870749022539662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
22,,Jatobás Engenharia e Construção,Construtora,Sim (indicio no nome),Itupeva,22,(11) 4496-1319,http://www.ojatobas.com.br/,4.7,26,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 22km +10; site +10; tel +5; reputacao +5,"Av. Itália, 395 - Sl 06 - Jardim Sao Vicente, Itupeva - SP, 13295-000",https://maps.google.com/?cid=17727555173681358217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
23,,UNIT PROJETOS E EMPREENDIMENTOS,Construtora,Sim (indicio no nome),Itupeva,22,(11) 4496-1843,https://www.unitprojetos.com.br/,4.8,18,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 22km +10; site +10; tel +5; reputacao +5,"R. Cabreúva, 130 - Jardim Samambaia, Itupeva - SP, 13295-000",https://maps.google.com/?cid=13393521176840280105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
24,,A.Fernandez Engenharia e Construções Ltda.,Construtora,Sim (indicio no nome),Jundiai,18,(11) 3395-3700,http://www.afernandez.com.br/,4.6,16,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 18km +10; site +10; tel +5; reputacao +5,"Av. Prof. Pedro Clarismundo Fornari, 1500 - Engordadouro, Jundiaí - SP, 13214-660",https://maps.google.com/?cid=16692242727692448228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
25,,Arkesi Incorporações e Construções Ltda,Construtora,Sim (indicio no nome),Jundiai,18,(11) 4601-1503,http://www.arkesi.com.br/,4.8,5,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 18km +10; site +10; tel +5; reputacao +5,"R. Vig. J. J. Rodrigues, 905 - Sl 44 - Centro, Jundiaí - SP, 13201-001",https://maps.google.com/?cid=3172267484089629150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
26,,Arquitech Engenharia e Construção,Construtora,Sim (indicio no nome),Jundiai,18,(11) 99632-8630,http://arquitechconstrutora.com.br/,4.5,11,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 18km +10; site +10; tel +5; reputacao +5,"R. Barão de Teffé, 160 - Jardim Ana Maria, Jundiaí - SP, 13208-760",https://maps.google.com/?cid=5061164961650027902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
27,,ENGPLAN - Engenharia e Planejamento de Obras,Engenharia,Sim (indicio no nome),Jundiai,18,(11) 93369-1026,https://contatoengplan.wixsite.com/website,,,72,A - abordar primeiro,Engenharia +35; gerencia obra +12; 18km +10; site +10; tel +5,"Rua: Cap Cassiano Ricardo de Toledo - 191 - Chácara Urbana, Jundiaí - SP, 13209-000",https://maps.google.com/?cid=16728680036418343930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
28,,Edifica Engenharia e Empreendimentos LTDA,Engenharia,Sim (indicio no nome),Jundiai,18,(11) 94627-2596,https://edifica.emp.br/,4.5,2,72,A - abordar primeiro,Engenharia +35; gerencia obra +12; 18km +10; site +10; tel +5,"Av. Dona Manoela Lacerda de Vergueiro, 59 - Anhangabaú, Jundiaí - SP, 13208-057",https://maps.google.com/?cid=7598085971132694025&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
29,,Ranker Empreendimentos,Construtora,Sim (indicio no nome),Jundiai,18,(11) 97236-9949,http://www.ranker.eng.br/,5,7,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 18km +10; site +10; tel +5; reputacao +5,"Av. Dr. Adilson Rodrigues, 3456 - Al. dos Oitis, 134 - Jardim Samambaia, Jundiaí - SP, 13211-433",https://maps.google.com/?cid=12163352335317779433&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
30,,Stratum Obras E Engenharia Ltda,Engenharia,Sim (indicio no nome),Jundiai,18,(11) 99242-2063,https://www.stratumobras.com.br/,5,2,72,A - abordar primeiro,Engenharia +35; gerencia obra +12; 18km +10; site +10; tel +5,"R. do Retiro, 120 - Parque do Colégio, Jundiaí - SP, 13209-000",https://maps.google.com/?cid=16487290997730232164&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
31,,Paint evolution airless spray reformas e construção,Construtora,Sim (indicio no nome),Louveira,0,(19) 99250-3469,http://www.paintevolutionairlessspray.com.br/,4.3,3,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 0km +15; site +10; tel +5,"Mirante do - R. Maria Aparecida da Rosa, 20 - Santo Antônio, Louveira - SP, 13294-576",https://maps.google.com/?cid=12293430667627837581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
32,,Alambrados e Construções Vinhedo,Construtora,Sim (indicio no nome),Vinhedo,9,(19) 3886-8089,https://www.encontravinhedo.com.br/a/alambrados-em-vinhedo.shtml,4.1,10,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5,"Rua Agrônomo José Aurélio Frediane - Moinho, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=9669650392794140343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
33,,Alfe Engenharia e Empreendimentos Imobiliários Ltda,Incorporadora,Sim (indicio no nome),Vinhedo,9,(19) 3876-3057,http://alfe.com.br/,4.9,9,72,A - abordar primeiro,Incorporadora +25; gerencia obra +12; 9km +15; site +10; tel +5; reputacao +5,"Av. Rosa Zanetti Ferragut, 499 - Pinheirinho, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=18285953976500873532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
34,,Comércio e Construção Carlinhos Ltda EPP,Construtora,Sim (indicio no nome),Vinhedo,9,(19) 97411-0753,http://www.comerciocarlinhos.com.br/,4.4,608,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5,"Av. Otávio Tasca, 1210 - Vila Joao XXIII, Vinhedo - SP, 13283-000",https://maps.google.com/?cid=5212141638657230428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
35,,Engemape Construções e Comércio,Construtora,Sim (indicio no nome),Vinhedo,9,(19) 3876-6641,http://www.engemape.com.br/,4.3,10,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5,"Av. Páscoa Zanetti Trevisan, 222 - Jardim Italia, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=8801097507720713034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
36,,GG Obras e Construção,Construtora,Sim (indicio no nome),Vinhedo,9,(19) 99162-4709,https://ggobraseconstrucao.com.br/,5,1,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5,"Rua Cinco de Junho - Capela, Vinhedo - SP, 13285-530",https://maps.google.com/?cid=4065563629716070692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
37,,Tek Casa - Juliana Bandina Maurício Projetos e Construções,Construtora,Sim (indicio no nome),Vinhedo,9,(19) 99255-5815,http://jubm.com.br/,5,2,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5,"Av. Benedito Storani, 1425 - Res. Aquário, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=12838269972285838942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
38,,i9M2 Engenharia e Construções,Construtora,Sim (indicio no nome),Vinhedo,9,(11) 96398-5892,https://i9m2.com.br/,5,2,72,A - abordar primeiro,Construtora +30; gerencia obra +12; 9km +15; site +10; tel +5,"R. Anésio Augusto do Amaral, 41 - Jardim - Santa Rosa, Vinhedo - SP, 13289-158",https://maps.google.com/?cid=15390007515223247926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
39,,Biasi Engenharia e Instalações,Engenharia,Provavel,Louveira,0,(19) 3948-5030,http://biasiengenharia.com.br/,4.8,5,70,A - abordar primeiro,Engenharia +35; 0km +15; site +10; tel +5; reputacao +5,"R. Nicola Argentieri, 99 - Vila Bossi, Louveira - SP, 13290-278",https://maps.google.com/?cid=18381402650395817283&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
40,,Construlaud Engenharia,Engenharia,Provavel,Louveira,0,(11) 94242-9508,http://www.construlaud.com.br/,5,39,70,A - abordar primeiro,Engenharia +35; 0km +15; site +10; tel +5; reputacao +5,"Av. Helíaco, 378 - Monterrey, Louveira - SP, 13293-760",https://maps.google.com/?cid=13696224216584649485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
41,,Araújo Engenharia Integridade de Equipamentos Industriais,Engenharia,Provavel,Vinhedo,9,(19) 3826-5436,https://araujoengenharia.com.br/,4.6,45,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"R. Manoel Matheus, 1645 - Jardim dos Passaros, Vinhedo - SP, 13289-190",https://maps.google.com/?cid=3363138814625472989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
42,,C2F Engenharia,Engenharia,Provavel,Vinhedo,9,(19) 99779-0075,https://c2fengenharia.com.br/,5,13,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"Polo Monteiro - Rua Célia P. Monteiro, 250 - Marambaia, Vinhedo - SP, 13287-004",https://maps.google.com/?cid=17251576351732257346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
43,,CKalil - CRISTIANO KALIL ENGENHARIA,Engenharia,Provavel,Vinhedo,9,(19) 3836-3467,https://www.instagram.com/cristianokalil.eng/,5,11,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"Estr. da Boiada, 1500 - Pinheirinho, Vinhedo - SP, 13289-462",https://maps.google.com/?cid=12501518281628881064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
44,,Eisenreste Engenharia,Engenharia,Provavel,Vinhedo,9,(19) 98330-3231,http://www.eisenreste.com/,4.9,7,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"R. Fernandópolis, 122 - Marambaia, Vinhedo - SP, 13287-130",https://maps.google.com/?cid=3406909127352568447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
45,,Engenharia da Preparação,Engenharia,Provavel,Vinhedo,9,(11) 93347-1629,https://engenhariadapreparacao.com.br/,4.8,133,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"R. José Gallo, 30 - Vista Alegre, Vinhedo - SP, 13289-708",https://maps.google.com/?cid=7969085037945534490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
46,,FCS Engenharia LTDA,Engenharia,Provavel,Vinhedo,9,(19) 3846-6831,http://www.engenhariafcs.com.br/,5,6,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"R. Olívio Piton, 100 - Nova Vinhedo, Vinhedo - SP, 13284-202",https://maps.google.com/?cid=12240903790870130505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
47,,FL Engenharia e Cálculo Estrutural em Vinhedo SP,Engenharia,Provavel,Vinhedo,9,(19) 99140-7335,https://abre.ai/flengenharia,5,8,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"Av. Brasil, 265 - Jardim Brasil, Vinhedo - SP, 13280-000",https://maps.google.com/?cid=14526438434581853359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
48,,RM Mais Engenharia,Engenharia,Provavel,Vinhedo,9,(19) 3876-1009,http://www.rmmais.com.br/,5,17,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"R. Humberto Pescarini, 735 - Centro, Vinhedo - SP, 13280-262",https://maps.google.com/?cid=450867961178877625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
49,,RiskSeg Engenharia de Riscos,Engenharia,Provavel,Vinhedo,9,(11) 2613-9367,http://www.riskseg.com.br/,4.9,27,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"Av. Brasil, 716 - Aquário, Vinhedo - SP, 13289-068",https://maps.google.com/?cid=9695132532522075968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
50,,"SSR TECNOLOGIA, ENGENHARIA E AEROLEVANTAMENTOS LTDA",Engenharia,Provavel,Vinhedo,9,(19) 3886-4800,http://www.ssr.com.br/,4.7,39,70,A - abordar primeiro,Engenharia +35; 9km +15; site +10; tel +5; reputacao +5,"R. Luíz Briski, 1020 - Nova Vinhedo, Vinhedo - SP, 13284-198",https://maps.google.com/?cid=12070332902033713453&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,Nao iniciado,
