ID,Empresa,Razao_Social_CNPJ,Categoria,Especialidade,Cidade_Sede,UF,Eixo_Regional,Dist_Louveira_km,Raio_de_Atuacao,Porte_Estimado,Fundacao,Site,Telefone,Endereco,Social,Decisor_Alvo_Cargo,Nome_Decisor,Email,Gatilho_Comercial,Prioridade_ICP,Confianca_do_Dado,Fonte,Status_Prospeccao,Proxima_Acao,Observacoes,Google_Maps,Avaliacao,Qtd_Avaliacoes,Status_Negocio
0011,Art em Concreto,,Servicos correlatos,Loja,Itupeva,SP,Eixo Louveira,22,,,,,,"R. Americo Simões, 87 - Bairro da Chave, Itupeva - SP, 13295-500",,Proprietario,,,,A,Alta,Google Places API,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8631647812988457962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0012,"Arte em gesso ""PAINEL ART GESSO 3D""",,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 95950-8318,"R. Tietê, 27 - Chácaras Do Guacuri, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=3224146337225095965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL
0013,BMJC INDUSTRIA E COMERCIO DE ESTRUTURAS METÁLICAS LTDA,,Servicos correlatos,Telhadista,Itupeva,SP,Eixo Louveira,22,,,,,,"Av. Emílio Chechinato, 2899 - São Roque da Chave, Itupeva - SP, 13295-000",,Proprietario,,,,A,Alta,Google Places API,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13438786584571347102&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0014,Barão construção,,Construtora,Loja de materiais de construção,Itupeva,SP,Eixo Louveira,22,,,,http://www.baraoconstrucao.com.br/,(19) 99404-6372,"R. A - Barão Da Boa Vista, Itupeva - SP, 13299-634",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=10870829955118034557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,12,OPERATIONAL
0015,Base Forte Construção e Reforma,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://jmnconstrucao.com.br/,(11) 98709-6900,"Av. Brasil, 2151 - Jardim Primavera, Itupeva - SP, 13295-152",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=18352467238708774986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0016,Bemarco Estruturas,,Servicos correlatos,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,,"Rod. Vice Pref. Hermenegildo Tonoli, 6 - Conj. Industrial Belville, Itupeva - SP, 13295-000",,Proprietario,,,,A,Alta,Google Places API,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15145338330958778118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0017,Biosfera Garden Center Paisagismo,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://biosferagardenpaisagismo.com.br/,(11) 96473-1957,"R. Antonio Polli, 373 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=2086991274565037607&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,63,OPERATIONAL
0018,BmDmconstrucoes civil,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://bmdmconstrucoes-civil.negocio.site/,(11) 94354-0086,"R. Walter Fregnani, 9 - Rio Das Pedras, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=2784943254288506479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0019,Brasil Ferro e Aço,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://brasilferroeaco.com.br/,(11) 4593-3091,"Av. Brasil, 1973 - B - Da Lagoa, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8994134130740765057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,9,OPERATIONAL
0020,Bruna Falcuci - Interiores,,Arquitetura,,Itupeva,SP,Eixo Louveira,22,,,,https://linkr.bio/brunafalcuci,(11) 91161-1478,"R. Juruna, 1004 - Parque Residencial Paraiso - Terras Brasilis, Itupeva - SP, 13295-374",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8589097607035762241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0021,C.L.O construção e reformas - empreiteiro,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 97887-8830,"R. João Gonçalves Lopes, 297 - Parque Das Hortensias, Itupeva - SP, 13295-334",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=1309280558306499197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,21,OPERATIONAL
0022,CONSTRUHIDRO MATERIAIS DE CONSTRUÇÃO,,Construtora,Loja de materiais de construção,Itupeva,SP,Eixo Louveira,22,,,,,(11) 96186-9644,"R. Priscila Narcizo, 169 - Jardim Itália, Itupeva - SP, 13299-032",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=14750883260783047737&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,6,OPERATIONAL
0023,Casa do Construtor Itupeva | Aluguel de Equipamentos,,Construtora,,Itupeva,SP,Eixo Louveira,22,,,,https://www.casadoconstrutor.com.br/loja/itupeva/,(11) 92627-8093,"Av. Brasil, 720 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9508821943806742758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,238,OPERATIONAL
0024,Casote Materiais de Construção,,Construtora,Loja de materiais de construção,Itupeva,SP,Eixo Louveira,22,,,,,(11) 96858-5442,"Av. Emílio Chechinato, 156 - Jardim Alegria, Itupeva - SP, 13295-166",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11666476137363553679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,18,OPERATIONAL
0025,Caçambinhas Itupeva,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://cacambinhas.com.br/,(11) 4591-2471,"Av. Brasil, 254 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=7396005241379614926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,10,OPERATIONAL
0026,Checchinato Participações,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://www.checchinato.com.br/,(11) 99944-6898,"Rod. Akzo Nobel, 300 - Conj. Industrial Belville, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13832574726036036873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,6,OPERATIONAL
0027,Cimento Itupeva,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://cimentoitupeva.com.br/,(11) 4496-6969,"R. Miguel Philomeno, 500 - Portal da Santa Fe, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=10958765341811581893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,1,OPERATIONAL
0028,Cipolla Empreendimentos Imobiliários Ltda,,Incorporadora,Imobiliária,Itupeva,SP,Eixo Louveira,22,,,,,99835-1056,"BL Ramal Cafundo, 827 - Chácara, Itupeva - SP, 13295-154",,Diretor Comercial / Diretor de Incorporacao,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=582626358421670910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0029,Conecta Negócios Imobiliários Ltda,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,,"R. Jundiaí, 242 - Marchi, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=2104020230257391767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,1,OPERATIONAL
0030,Consran Engenharia e Construtora Ranciar,,Construtora,Consultoria,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4496-4783,"Av. Brasil, 1400 - Do Pinherinho, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11677957660390512143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0031,Construtora Andrade Silva,,Construtora,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 94707-0747,"Av Brasil ,1756 Complexo Império, sala 1 - Parque das Laranjeiras, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=1340795019585656786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0032,Construtora GR,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://www.construcoesgr.com.br/,(11) 94737-0249,"R. Miguel Madani, 45 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13508422804075142368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,7,OPERATIONAL
0033,Construtora Mattone,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.mattone.net.br/,(11) 99648-1234,"R. Emiliano Cavalcanti - Residencial Colinas De Itupeva, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15353456248862632053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,30,OPERATIONAL
0034,Construtora Sattler,,Construtora,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4593-3285,"Rod. Vice Pref. Hermenegildo Tonoli, 588 - Sobreloja - Santa Júlia, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8154373814036097092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0035,Couto Camargo Construção Civil,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://couto-camargo-construcao-civil.ueniweb.com/?utm_campaign=gmb,(11) 94018-3809,"R. Cabo Sérgio Luis Casaroli, 59 - Parque Das Hortensias, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=7056097583655044921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL
0036,Cândido Associados Construções Pré-Fabricados,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 7880-1501,"Av. Itália, 661 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9664316873287490429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL
0037,D.R Baús reformas de baú,,Servicos correlatos,Mecânica para carros,Itupeva,SP,Eixo Louveira,22,,,,,,"Estr. Mun IVA_120, 1035 - Região Metropolitana de Jundiaí, Itupeva - SP, 13295-000",,Proprietario,,,,A,Alta,Google Places API,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9506415499246540384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0038,DC ENGENHARIA LTDA,,Engenharia,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://www.instagram.com/dcengenharialtda/,(11) 95949-0891,"R. Miguel Philomeno, 362 - Portal da Santa Fe, Itupeva - SP, 13295-566",,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=1495319005684858958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0039,DL instalações,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(19) 99122-0677,"R. Adélia de Oliveira - Pacaembu, Itupeva - SP, 13295-478",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=4920376232347580757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,10,OPERATIONAL
0040,DPS Engenharia e Serviços Tercerizados,,Engenharia,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(13) 99608-0418,"R. Adélia de Oliveira, 28 - Residencial Pacaembu, Itupeva - SP, 13295-000",,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15019608703791013109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0041,Daits Metais,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.daitsmetais.com.br/,(11) 4591-9242,"R. Antonio Polli, 385 A - Jardim Sao Vicente, Itupeva - SP, 13295-128",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=12330869188645542862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,17,OPERATIONAL
0042,De Carvalho Negócios Imobiliários - Construtora e imobiliária em Itupeva e região,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://imoveisdecarvalho.com.br/,(11) 98370-0002,"Av. Brasil, 1782 - Sl 23 - Do Pinherinho, Itupeva - SP, 13295-000",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11596254229284526703&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,8,OPERATIONAL
0043,Depósito Materiais para Construção Mantovanelli,,Construtora,Loja de materiais de construção,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4591-1338,"R. Rio Grande do Sul, 48 - Vila Paraizo, Itupeva - SP, 13295-176",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=12612646692904112946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,138,OPERATIONAL
0044,Do Lado Di Cá Interiores,,Arquitetura,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.doladodica.com.br/,,"R. Emancipadores do Município, 356 - | Sala 09 - Marchi, Itupeva - SP, 13295-154",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=252997394019080561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,31,OPERATIONAL
0045,EDUARDO MUZI ARQUITETURA,,Arquitetura,Escritório da empresa,Itupeva,SP,Eixo Louveira,22,,,,,(19) 99666-2025,"R. 4 - Residencial Colinas De Itupeva, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=14897853509487994042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,OPERATIONAL
0046,ESTÚDIO CACTUS INTERIORES | TAILANI MOURA,,Arquitetura,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 99913-3711,"R. Antonio Poli, 699 - Sl 07 - Jardim Sao Vicente, Itupeva - SP, 13295-128",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15910949679786074777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,8,OPERATIONAL
0047,Edrox Soluções em Engenharia,,Engenharia,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 96347-2556,"Rod. Mário Tonoli - Estância Hidromineral Santa Eliza, Itupeva - SP, 13295-000",,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=13590361721032241091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0048,"Eletricista Resistência , predial Itupeva",,Servicos correlatos,Eletricista,Itupeva,SP,Eixo Louveira,22,,,,,,"Jardim Ana Luiza, Itupeva - SP, 13295-548",,Proprietario,,,,A,Alta,Google Places API,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8357648251329658415&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0049,Empreiteira Mão Obra Favero,,Empreiteira,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4591-3141,"Tr 3, 198 - Rio Das Pedras, Itupeva - SP, 13295-000",,Proprietario / Encarregado geral,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9311278114031991775&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,3,OPERATIONAL
0050,Empreiteira de Mão-de-Obra Favero,,Empreiteira,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 4591-3634,"Av. Emílio Chechinato, 431 - Jardim Samambaia, Itupeva - SP, 13295-000",,Proprietario / Encarregado geral,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=2250004348767681215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,1,OPERATIONAL
