#,Empresa,Segmento,Cidade,UF,Regiao,Telefone,Site,Email,Nota,Avals,Endereco,Google_Maps,Dist_Louveira_km,Enriquecido,Nome_Decisor,Status_Prospeccao,Observacoes
25,Brittos serviços em alturas e reformas em geral,Construtora,Barueri,SP,Foco,(11) 95821-0516,http://www.brittosalturaereformas.com.br/,,5,2,"R. Adelino Cardana - Bethaville I, Barueri - SP, 06401-147",https://maps.google.com/?cid=17899494985397849893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
26,Bullfor Parafusos e Acessórios,Construtora,Barueri,SP,Foco,(11) 2271-3990,http://www.bullfor.com/,,4.9,7,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=12843231603120110024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
27,Canteiro Civil Master,Construtora,Barueri,SP,Foco,,,,4.5,2,"R. Silveira, 26 - Vila Boa Vista, Barueri - SP, 06411-010",https://maps.google.com/?cid=17470912289399313929&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
28,Canteiro de Obras - CCR,Construtora,Barueri,SP,Foco,,,,5,13,"Alphaville Industrial, Barueri - SP",https://maps.google.com/?cid=6266043100150581735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
29,Canteiro MILANEZI,Construtora,Barueri,SP,Foco,,,,,,"Av. Pirarucu - Jardim Santa Cecilia, Barueri - SP, 06440-185",https://maps.google.com/?cid=2335830789214303185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
30,Canteiro obra Consórcio AGCS-Elevação - Projeto Integra Tietê,Construtora,Barueri,SP,Foco,,,,4.7,3,"Av. Pirarucu, 117 - 1 - Aldeia, Barueri - SP",https://maps.google.com/?cid=9810561935920057683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
31,Canterio Milanezi Engenharia e Construção,Construtora,Barueri,SP,Foco,,,,,,"Av. Santa Terezinha - Vila Gustavo Correia, Barueri - SP",https://maps.google.com/?cid=9854578577825994482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
32,Capital Concreto,Construtora,Barueri,SP,Foco,(11) 91275-0166,https://www.cconcreto.com.br/,,4.8,100,"Av. Andrômeda, 885 - 11 andar - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=2151558675406256611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
33,Caribe Empreendimentos,Construtora,Barueri,SP,Foco,(11) 3105-6583,,,4,4,"R. Luís Gonzaga Fernandes Vergara, 62 - Jardim Silveira, Barueri - SP, 06434-050",https://maps.google.com/?cid=1120890019530153935&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
34,Castelinho de Ouro - Barueri SP,Construtora,Barueri,SP,Foco,(11) 95177-9748,,,5,2,"Av. Aníbal Correia, 400 - Parque Viana, Barueri - SP, 06447-010",https://maps.google.com/?cid=11435271926395021789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
35,Cat Construtora Alphaville Tambore,Construtora,Barueri,SP,Foco,(11) 4191-3805,,,5,2,"Alameda Grajaú, 129 - Alphaville Industrial, Barueri - SP, 06454-050",https://maps.google.com/?cid=16734796689096075808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
36,Chame o Técnico,Construtora,Barueri,SP,Foco,(11) 4382-1985,,,4.4,10,"Av. Francisco Lourenço da Costa, 446 - sala 1 - Vila do Conde, Barueri - SP, 06445-500",https://maps.google.com/?cid=13818448818474065091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
37,Chrystal Aplicadora de Pisos,Construtora,Barueri,SP,Foco,(11) 4154-1000,https://www.chrystalaplicadora.com.br/,,4.8,34,"Alameda Grajaú, 614 - Alphaville Industrial, Barueri - SP, 06454-050",https://maps.google.com/?cid=16897963526701596997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
38,CINCO PONTO SEIS,Construtora,Barueri,SP,Foco,(11) 98114-7222,http://cincopontoseis.com/,,3,2,"Av. Piracicaba, 675 - Tamboré, Barueri - SP, 06458-130",https://maps.google.com/?cid=1598013137904067690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
39,Clabe Brasil Construtora,Construtora,Barueri,SP,Foco,(11) 2424-3749,http://www.clabebrasil.com.br/,,5,1,"Al. Rio Negro, 503 - Alphaville, Barueri - SP, 06223-140",https://maps.google.com/?cid=643400023895227684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
40,Coldibelli Bezerra Construtora,Construtora,Barueri,SP,Foco,(11) 4610-8755,http://coldibellibezerra.com.br/,,5,1,"Av. Copacabana, 325 - 18 do - Forte, Barueri - SP, 06472-001",https://maps.google.com/?cid=2452543544628414947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
41,Colepav - preparação de massa para concreto,Construtora,Barueri,SP,Foco,,,,5,3,"Complexo Viário Yojiro Takaoka, 259 - Jardim Itaquiti, Barueri - SP",https://maps.google.com/?cid=1057197781551591189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
42,Conheça a PRI Impermeabilização,Construtora,Barueri,SP,Foco,(11) 94510-9402,,,5,1,"R. Salto, 110 - Jardim Paulista, Barueri - SP, 06447-220",https://maps.google.com/?cid=17831489623497699769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
43,Conspar Empreendimentos e Participações,Construtora,Barueri,SP,Foco,(11) 4618-5000,,,3,5,"R. Cananéia, 315 - Jardim Silveira, Barueri - SP, 06445-050",https://maps.google.com/?cid=3553014887290464673&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
44,Construcampi,Construtora,Barueri,SP,Foco,(11) 99199-8401,,,5,1,"Ed Amazonia - Alameda Mamoré, 1477 - Alphaville, Barueri - SP, 06454-040",https://maps.google.com/?cid=6318800334754004437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
45,Construcred Construtora,Construtora,Barueri,SP,Foco,(11) 91963-1505,https://wa.me/5511919631505?text=Ol%C3%A1%2Cvim%20atrav%C3%A9s%20do%20Google%2Cgostaria%20de%20saber%20mais%20sobre...,,5,1,"Alameda Madeira, 328 - 18⁰ andar sala 1810 - Alphaville Industrial, Barueri - SP, 06454-010",https://maps.google.com/?cid=2665444865913983362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
46,ConstruGesso Barueri,Construtora,Barueri,SP,Foco,(11) 4552-0269,,,4.2,22,"R. Júlio Feltscher, 387 - Jardim Julio, Barueri - SP, 06447-330",https://maps.google.com/?cid=6943488831210058530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
47,Construservi Construtora,Construtora,Barueri,SP,Foco,(11) 96188-1351,,,,,"R. Dep. Scalamandre Sobrinho, 290 - Jardim Itaquiti, Barueri - SP, 06422-040",https://maps.google.com/?cid=15082836697989908683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
48,ConstruSilva Pavimentos,Construtora,Barueri,SP,Foco,(11) 2321-1633,http://www.construsiillva.com.br/,,,,"Rua Presidente Nilo Peçanha, 518 - Jardim Itaquiti, Barueri - SP, 06422-030",https://maps.google.com/?cid=1931657015541773723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
49,Construtora Bacaba Ltda,Construtora,Barueri,SP,Foco,,https://construtorabacaba.com.br/,,4.5,6,"Praça das Flores, 12 - Alphaville Comercial, Barueri - SP, 06453-010",https://maps.google.com/?cid=9727497917958993237&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
50,Construtora Barueri - Construção e Reforma,Construtora,Barueri,SP,Foco,(11) 95669-9774,,,5,1,"R. Caldas Novas, 50 - Sl 85 - Bethaville I, Barueri - SP, 06404-301",https://maps.google.com/?cid=14498911755216254454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
51,Construtora Coveg,Construtora,Barueri,SP,Foco,(11) 4133-3233,,,5,3,"Alameda Madeira, 222 - Alphaville Industrial, Barueri - SP, 06454-010",https://maps.google.com/?cid=639809852010079927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
52,Construtora em Alphaville,Construtora,Barueri,SP,Foco,(11) 99559-0975,http://www.emb3.com.br/faleconosco.asp,,,,"Alameda Grajaú, 614 - Alphaville, Barueri - SP, 06454-050",https://maps.google.com/?cid=18242221532596763893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
53,Construtora Engemafa,Construtora,Barueri,SP,Foco,(11) 2680-2404,,,1,1,"R. Jatobá, 260 - Parque Viana, Barueri - SP, 06449-060",https://maps.google.com/?cid=4871505553672855350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
54,Construtora Estrutural,Construtora,Barueri,SP,Foco,(11) 4688-2202,,,4.5,2,"R. João Ferreira de Camargo, 430 - Barueri, SP, 06460-060",https://maps.google.com/?cid=16992862731805739763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
55,Construtora Guaianazes,Construtora,Barueri,SP,Foco,(11) 4619-5272,,,,,"Via de Acesso João de Góes, 1700 - Jardim Itaquiti, Barueri - SP, 06612-000",https://maps.google.com/?cid=1103435419674377296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
56,Construtora Guercio Martini,Construtora,Barueri,SP,Foco,(11) 4208-4111,https://www.guerciomartini.com.br/,,5,1,"Alameda Grajaú, 60 - Alphaville Industrial, Barueri - SP, 06454-050",https://maps.google.com/?cid=17866883459183490757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
57,Construtora Gutiérrez,Construtora,Barueri,SP,Foco,(61) 99412-9898,https://gutierrezconstructionny.com/,,5,3,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=13064754092047498169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
58,Construtora OAS,Construtora,Barueri,SP,Foco,,,,3,2,"Avenida Prefeito João Vilallobo Quero 1001 - Jardim Belval, Barueri - SP, 06420-210",https://maps.google.com/?cid=1981265860879773570&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
59,construtora promarcke,Construtora,Barueri,SP,Foco,(11) 4872-2431,http://promarckeengenharia.com.br/,,3.8,19,"Al. Rio Negro, 1030 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=16732340636823458840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
60,Construtora Ramon Aguilera,Construtora,Barueri,SP,Foco,(11) 5505-3222,https://ramonaguilera.com.br/flamingo/,,3.3,7,"Alameda Madeira, 258 - 11° Andar - Alphaville Industrial, Barueri - SP, 06454-010",https://maps.google.com/?cid=18062047075449418771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
61,Construtora Rosa Neto,Construtora,Barueri,SP,Foco,(11) 4194-0077,http://www.construtorarosaneto.com/,,5,3,"R. Água M.nha, 200 - Parque Esmeralda, Barueri - SP, 06447-540",https://maps.google.com/?cid=9142450971593990710&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
62,Construtora W Cruz,Construtora,Barueri,SP,Foco,(11) 4168-1491,,,,,"R. Pompéia, 544 - Chácaras Marco, Barueri - SP, 06419-140",https://maps.google.com/?cid=3494051346491281493&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
63,Consultoria e Projeto,Construtora,Barueri,SP,Foco,(11) 98317-0119,,,5,1,"R. Quartzo, 157 - Parque Esmeralda, Barueri - SP, 06447-510",https://maps.google.com/?cid=9740360863547825262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
64,Contru Alpha,Construtora,Barueri,SP,Foco,(11) 4193-1502,,,5,1,"R. Mar Vermelho, 567 - Jardim Regina Alice, Barueri - SP, 06412-140",https://maps.google.com/?cid=2348742058800161729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
65,Coteg Construções e Gabiões LTDA.,Construtora,Barueri,SP,Foco,(11) 4195-5473,,,5,1,"Centro Comercial - Al. Rio Negro, 1105 - sl. 14 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=16577304375555973508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
66,CruzConstrução,Construtora,Barueri,SP,Foco,(11) 97836-7519,,,1,1,"Rua Campos Sales - Barueri, SP, 06435-290",https://maps.google.com/?cid=7620690976075869797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
67,CTGP Consultoria Técnica e Gerenciamento de Projetos,Construtora,Barueri,SP,Foco,(11) 96574-1813,http://ctgpengenharia.com.br/,,5,11,"Calçada das Margaridas, 154 - 1º andar - Alphaville, Barueri - SP, 06453-038",https://maps.google.com/?cid=6689873495283408381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
68,Dallas Metal - Construtora,Construtora,Barueri,SP,Foco,(11) 99185-0072,https://www.dallasgroup.com.br/dallas-construction,,4.6,49,"Av. Copacabana, 325 - Alphaville, Barueri - SP, 06472-001",https://maps.google.com/?cid=18281586608761990035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
69,Deccor Pinturas e Reformas,Construtora,Barueri,SP,Foco,(11) 94116-6954,https://deccorpinturasereformas.com.br/,,4.7,28,"R. Monte das Gameleiras, 97 - Jardim California, Barueri - SP, 06409-080",https://maps.google.com/?cid=298369605964776339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
70,Diamante construcões,Construtora,Barueri,SP,Foco,(11) 96386-3151,,,,,"R. Fernão Dias Paes Leme - Jardim Alberto, Barueri - SP, 06433-190",https://maps.google.com/?cid=12062412593153302733&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,Sim,,Nao iniciado,
