ID,Empresa,Razao_Social_CNPJ,Categoria,Especialidade,Cidade_Sede,UF,Eixo_Regional,Dist_Louveira_km,Raio_de_Atuacao,Porte_Estimado,Fundacao,Site,Telefone,Endereco,Social,Decisor_Alvo_Cargo,Nome_Decisor,Email,Gatilho_Comercial,Prioridade_ICP,Confianca_do_Dado,Fonte,Status_Prospeccao,Proxima_Acao,Observacoes
017,Oportuna Engenharia & Construcao,,Engenharia,"Engenharia, construcao e incorporacao",Valinhos,SP,Eixo Louveira (Anhanguera/Bandeirantes),17,Valinhos e regiao,Pequena/Media,,,(19) 3881-3142,Valinhos/SP,instagram.com/oportunaempreendimentos,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Instagram oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Telefone publico confirmado
018,Ponto Exatum Construtora e Incorporadora,Ponto Exatum Construtora e Incorporadora Ltda,Construtora e Incorporadora,Construcao e incorporacao,Valinhos,SP,Eixo Louveira (Anhanguera/Bandeirantes),17,Valinhos e regiao,Pequena/Media,,,,"Ed. Jequitiba - R. Luis Spiandorelli Neto, 47, Sala 903, Jd. Paiquere, Valinhos/SP",,Socio-Diretor / Diretor Comercial,,,,A,Media,Diretorio empresarial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Endereco completo disponivel - facilita visita presencial
019,Vifran Construtora,,Construtora,Obras de alta complexidade / hotelaria,Valinhos,SP,Eixo Louveira (Anhanguera/Bandeirantes),17,SP e regiao,Media/Grande,1978,vifranconstrutora.com.br,,Valinhos/SP,,Socio-Diretor / Diretor de Obras,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,48 anos de mercado; empreendimento hoteleiro de alto padrao em Valinhos - player maduro
020,Madreal Empreendimentos e Participacoes,,Incorporadora,Incorporacao imobiliaria e participacoes,Valinhos,SP,Eixo Louveira (Anhanguera/Bandeirantes),17,Valinhos e regiao,Media,,madreal.com.br,,Valinhos/SP,,Diretor Comercial / Diretor de Incorporacao,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Empresa do Grupo Madia - decisao pode ser centralizada no grupo
021,Del Duque Construtora e Incorporadora,Del Duque Construtora e Incorporadora Ltda,Construtora e Incorporadora,Projetos e execucao de reformas,Vinhedo,SP,Eixo Louveira (Anhanguera/Bandeirantes),9,"Vinhedo, Valinhos, Louveira",Micro/Pequena,,,,Vinhedo/SP e regiao,,Socio-Diretor / Diretor Comercial,,,,A,Baixa,Diretorio empresarial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Confirmar sede e situacao cadastral
022,Santa Angela Construtora,,Construtora e Incorporadora,Residencial,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Media,,,,Jundiai/SP,,Socio-Diretor / Diretor Comercial,,,,A,Media,Materia setorial (Grupo Lar),Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Citada como referencia local pela qualidade dos empreendimentos
023,F. A. Oliva,,Construtora e Incorporadora,Residencial vertical e horizontal,Jundiaí,SP,Eixo Jundiai,18,Interior de SP,Grande,1955,,,Jundiai/SP,,Socio-Diretor / Diretor Comercial,,,,A,Alta,Materia setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Mais de 9.000 unidades entregues em Jundiai e regiao - maior historico da praca
024,Grupo Lar,,Incorporadora,Residencial - design contemporaneo e sustentabilidade,Jundiaí,SP,Eixo Jundiai,18,Brasil,Grande,2010,grupolar.com.br,,Jundiai/SP,,Diretor Comercial / Diretor de Incorporacao,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Grupo de origem espanhola - decisao possivelmente fora da praca
025,VVC Construtora,,Construtora,Construcao civil,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Media,2002,vvcconstrutora.com.br,,Jundiai/SP,,Socio-Diretor / Diretor de Obras,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
026,Dantech Construtora,,Construtora,Obras e reformas,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Pequena/Media,2009,,,Jundiai/SP,,Socio-Diretor / Diretor de Obras,,,,A,Media,Materia setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Mais de 600 obras executadas em 16+ anos - alto giro de projetos
027,Renzeti Arquitetura e Construcao,,Arquitetura,Arquitetura + construcao (projetos personalizados),Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Pequena,,,,Jundiai/SP,,Socio / Arquiteto titular,,,,A,Media,Materia setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Modelo integrado projeto+obra
028,Veiga Lopes Engenharia,Veiga Lopes Engenharia Ltda,Engenharia,"Obras industriais, comerciais, residenciais e infraestrutura",Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Media,2007,,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site/diretorio setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,"Atua em obras novas, ampliacoes, reformas e manutencao - forte no industrial"
029,GNering Engenharia e Construcao,,Engenharia,Gerenciamento de obras e residencias de alto padrao,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Pequena/Media,,gnering.com.br,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
030,G.E.S Engenharia & Construcoes,,Engenharia,"Residencial, comercial, institucional e publico",Jundiaí,SP,Eixo Jundiai,18,"Jundiai, Itupeva, Campinas, Sao Paulo",Media,1995,gesengenharia.com.br,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Assessora do terreno a entrega - venda consultiva ja no DNA
031,Bremser Engenharia,,Engenharia,Reformas corporativas e gerenciamento de obras,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Pequena,,bremser.com.br,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Nicho corporate/escritorios
032,Expeed Engenharia e Construcao,,Engenharia,Engenharia civil e obras,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Pequena,,expeedengenharia.com.br,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
033,Star Engenharia,,Engenharia,Gerenciamento de projetos e obras,Jundiaí,SP,Eixo Jundiai,18,Jundiai e regiao,Pequena,,engenhariastar.com.br,,Jundiai/SP,,Socio-Diretor / Engenheiro responsavel,,,,A,Media,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
034,Segmento Arquitetura e Gerenciamento de Obras,,Arquitetura,Arquitetura + gerenciamento de obras,Jundiaí,SP,Eixo Jundiai,18,"Jundiai, regiao e Grande Sao Paulo",Pequena,,segmentoarquitetura.com.br,,Jundiai/SP,,Socio / Arquiteto titular,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
035,Aresto Arquitetura,,Arquitetura,Arquitetura e interiores (residencial e comercial),Jundiaí,SP,Eixo Jundiai,18,"Jundiai, Itupeva, Louveira, Vinhedo, Itatiba, Campinas",Pequena,2009,arestoarquitetura.com.br,,Jundiai/SP,,Socio / Arquiteto titular,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Cita Louveira explicitamente na area de atuacao
036,Mello e Condini Arquitetura e Interiores,,Arquitetura,"Residencial, comercial e corporativo",Jundiaí,SP,Eixo Jundiai,18,"Jundiai, Itatiba, Louveira, Itupeva, Vinhedo, Cabreuva, Cajamar",Pequena,,gustavomello.com.br,,Jundiai/SP,,Socio / Arquiteto titular,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
037,L&L Arquitetura,,Arquitetura,Residencial de alto padrao e interiores,Jundiaí,SP,Eixo Jundiai,18,"Jundiai, Valinhos, Vinhedo",Micro/Pequena,,lelarquitetura.com.br,,Jundiai/SP,,Socio / Arquiteto titular,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
038,Patriani,,Construtora e Incorporadora,Residencial alto padrao,Santo André,SP,Fora da macro-regiao (atua na regiao),90,Sao Paulo e interior,Grande,,construtorapatriani.com.br,,Santo Andre/SP,,Socio-Diretor / Diretor Comercial,,,,C,Media,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Top 10 do Top Imobiliario; lancamentos em Jundiai e predio mais alto de Campinas - decisao fora da praca
039,Construtora Monica Peres,,Construtora e Incorporadora,Residencial + imobiliaria,Itupeva,SP,Eixo Louveira (Anhanguera/Bandeirantes),22,"Itupeva, Jundiai, Salto, Indaiatuba, Vinhedo, Itatiba, Louveira, Cabreuva, Varzea Paulista, Valinhos, Campo Limpo Paulista",Pequena/Media,,monicaperes.com.br,,Itupeva/SP,,Socio-Diretor / Diretor Comercial,,,,A,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Raio de atuacao mais amplo da regiao - 11 cidades declaradas
040,Construtora Sepol,Construtora Sepol Ltda,Construtora,Construcao civil,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Media,,,,Itatiba/SP,,Socio-Diretor / Diretor de Obras,,,,B,Media,Ranking Econodata - maiores construtoras de Itatiba,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,1a colocada no ranking local
041,Isolani Construtora,Isolani Construtora Ltda,Construtora,Construcao civil,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Pequena/Media,,,,Itatiba/SP,,Socio-Diretor / Diretor de Obras,,,,B,Media,Ranking Econodata - maiores construtoras de Itatiba,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,2a colocada no ranking local
042,Partiwel do Brasil Construtora e Incorporadora,Partiwel do Brasil Construtora e Incorporadora Ltda,Construtora e Incorporadora,Construcao e incorporacao,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Pequena/Media,,,,Itatiba/SP,,Socio-Diretor / Diretor Comercial,,,,B,Media,Ranking Econodata - maiores construtoras de Itatiba,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,3a colocada no ranking local
043,ACOI Construtora,,Construtora,Construcao civil,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Pequena,,,,"R. Antonio Ferraz Costa, 70 - Vila Mutton, Itatiba/SP",,Socio-Diretor / Diretor de Obras,,,,B,Media,Diretorio local,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Endereco completo disponivel
044,Construtora JBB,,Construtora,Construcao civil,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Pequena,,construtorajbb.com.br,,"Av. Expedicionarios Brasileiros, 261 - Vl. Brasileira, Itatiba/SP",,Socio-Diretor / Diretor de Obras,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Site antigo (http) - possivel baixa maturidade digital
045,Moderna Construtora e Arquitetura,,Construtora,Construcao + arquitetura,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Micro/Pequena,,,,Itatiba/SP,facebook.com/mouraconstrutoraengenharia,Socio-Diretor / Diretor de Obras,,,,B,Media,Pagina oficial Facebook,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Aparece tambem como Moura Construtora Engenharia - confirmar razao social
046,Martez Engenharia e Construtora,,Engenharia,Engenharia e construcao,Itatiba,SP,Eixo Itatiba/Morungaba,27,Itatiba e regiao,Micro/Pequena,,,,Itatiba/SP,instagram.com/martezengenharia,Socio-Diretor / Engenheiro responsavel,,,,B,Media,Instagram oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
047,BRZ Empreendimentos e Construcoes,BRZ Empreendimentos e Construcoes S/A,Construtora e Incorporadora,Residencial de larga escala,Campinas,SP,RMC - Campinas,30,Brasil,Grande,,,,Campinas/SP,,Socio-Diretor / Diretor Comercial,,,,B,Media,Ranking Econodata - maiores de construcao em Campinas,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,1a colocada no ranking de Campinas por faturamento estimado
048,Alpha Construtora,,Construtora,"Obras e reformas industriais, comerciais e residenciais",Campinas,SP,RMC - Campinas,30,Campinas e RMC,Pequena/Media,2005,alphaconstrutora.com.br,,Campinas/SP,,Socio-Diretor / Diretor de Obras,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
049,Verner Engenharia,,Engenharia,"Obras industriais, fabricas e galpoes",Campinas,SP,RMC - Campinas,30,"Campinas, Indaiatuba e RMC",Pequena/Media,,vernerengenharia.com,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Perfil industrial - aderente ao polo logistico de Louveira
050,ADAX Engenharia,,Engenharia,Galpoes industriais,Campinas,SP,RMC - Campinas,30,"Campinas, Valinhos, Vinhedo e regiao",Pequena/Media,,adaxengenharia.com.br,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Cita Valinhos e Vinhedo na area de atuacao
051,Innovatore Engenharia e Construcao,,Engenharia,"Galpoes logisticos, CDs e hubs industriais",Campinas,SP,RMC - Campinas,30,SP e regiao,Media,,innovatore.eng.br,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Alta aderencia ao eixo logistico Louveira/Jundiai
052,Pratica Engenharia,,Engenharia,Galpoes industriais,Campinas,SP,RMC - Campinas,30,SP e regiao,Media,2005,praticaengenharia.com.br,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
053,SOTEF Engenharia,,Engenharia,Pre-moldados e pre-fabricados de concreto,Campinas,SP,RMC - Campinas,30,SP e regiao,Media,,sotef.com.br,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Fabrica propria de concreto - ciclo de compra industrial
054,VS Engenharia,,Engenharia,Galpoes logisticos e industria,Campinas,SP,RMC - Campinas,30,SP e regiao,Pequena/Media,,vs-engenharia.com,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
055,ARC Engenharia,,Engenharia,Galpoes logisticos,Campinas,SP,RMC - Campinas,30,SP e regiao,Pequena/Media,,arcengenharia.com,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Media,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
056,Grupo EF,,Engenharia,"Pisos industriais, obras e gerenciamento industrial",Campinas,SP,RMC - Campinas,30,"Campinas, Valinhos, Vinhedo e regiao",Pequena/Media,,efpisosindustriais.com.br,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
057,PHC Construcoes,,Construtora,Gerenciamento de obras,Campinas,SP,RMC - Campinas,30,RMC,Pequena,,,,Campinas/SP,,Socio-Diretor / Diretor de Obras,,,,B,Media,Diretorio setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
058,RTEC Construcao e Assessoria,RTEC Construcao e Assessoria Ltda,Construtora,Construcao e assessoria tecnica,Campinas,SP,RMC - Campinas,30,Campinas e RMC,Pequena,,,,Campinas/SP,,Socio-Diretor / Diretor de Obras,,,,B,Media,Diretorio oHub,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
059,CSA Engenharia,,Engenharia,Engenharia civil,Campinas,SP,RMC - Campinas,30,Campinas e RMC,Pequena,,,,Campinas/SP,,Socio-Diretor / Engenheiro responsavel,,,,B,Media,Diretorio oHub,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
060,A V Arquitetura e Engenharia,,Arquitetura,Arquitetura + engenharia,Campinas,SP,RMC - Campinas,30,Campinas e RMC,Pequena,,,,Campinas/SP,,Socio / Arquiteto titular,,,,B,Media,Diretorio oHub,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
061,FMC Arquitetura & Design,,Arquitetura,Arquitetura e design,Campinas,SP,RMC - Campinas,30,Campinas e RMC,Micro/Pequena,,,,Campinas/SP,,Socio / Arquiteto titular,,,,B,Media,Diretorio oHub,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
062,Pellizzon Arquitetura e Interiores,,Arquitetura,Arquitetura e design de interiores,Campinas,SP,RMC - Campinas,30,Campinas e RMC,Pequena,,pellizzonarqeint.com.br,,"Rua Castro Mendes, 123 - Taquaral, Campinas/SP",,Socio / Arquiteto titular,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Premiada no Campinas Decor e listada entre os 100 melhores escritorios do interior (Interarq)
063,AKA Arquitetos,,Arquitetura,Arquitetura,Campinas,SP,RMC - Campinas,30,RMC,Micro,2022,,,Campinas/SP,,Socio / Arquiteto titular,,,,B,Media,Diretorio setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Escritorio novo - fundado pela arquiteta Kelen Almeida
064,Ilton Felipe Arquiteto,,Arquitetura,Arquitetura,Campinas,SP,RMC - Campinas,30,Campinas e RMC,Micro,,,,Campinas/SP,,Socio / Arquiteto titular,,,,B,Media,Diretorio oHub,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
065,Arquitetura Comercial STU,,Arquitetura,"Projetos comerciais e corporativos (lojas, escritorios, restaurantes)",Campinas,SP,RMC - Campinas,30,Campinas e RMC,Pequena,,,,Campinas/SP,,Socio / Arquiteto titular,,,,B,Media,Diretorio setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Time misto de arquitetos e engenheiros - nicho retail/corporate
066,Flavia Medina Arquitetura & Interiores,,Arquitetura,Residencial de altissimo padrao,Campinas,SP,RMC - Campinas,30,"Quinta da Baroneza, Fazenda da Grama, Entreverdes, Fazenda Boa Vista",Pequena,,flaviamedina.com.br,,Campinas/SP e Sao Paulo,,Socio / Arquiteto titular,,,,B,Alta,Site oficial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,Atua nos loteamentos de altissimo padrao do eixo Itatiba/Vinhedo - ticket alto
067,Bild Desenvolvimento Imobiliario,,Incorporadora,Residencial de larga escala,Ribeirão Preto,SP,Fora da macro-regiao (atua na regiao),250,Interior de SP e MG,Grande,,,,Ribeirao Preto/SP,,Diretor Comercial / Diretor de Incorporacao,,,,C,Media,Materia setorial,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,+24 mil unidades em 105+ empreendimentos; atua em Campinas - decisao fora da praca
068,Emmar Incorporadora e Construtora,Emmar Incorporadora e Construtora Ltda,Construtora e Incorporadora,Residencial,Indaiatuba,SP,RMC - Indaiatuba,45,Indaiatuba e regiao,Media,,,,Indaiatuba/SP,,Socio-Diretor / Diretor Comercial,,,,B,Media,Ranking Econodata - maiores construtoras de Indaiatuba,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,1a por faturamento estimado na cidade
069,Frazatti & Mazzetto Construtora e Incorporadora,Frazatti & Mazzetto Construtora e Incorporadora Ltda,Construtora e Incorporadora,Residencial,Indaiatuba,SP,RMC - Indaiatuba,45,Indaiatuba e regiao,Pequena/Media,,,,Indaiatuba/SP,,Socio-Diretor / Diretor Comercial,,,,B,Media,Ranking Econodata - maiores construtoras de Indaiatuba,Nao iniciado,Enriquecer contato (site/LinkedIn) e validar decisor,
