#,Empresa,Segmento,Cidade,Telefone,Site,Nota,Avals,Endereco,Google_Maps,Status
11,Ana Cristina Fazzio Arquitetura,Arq,Barueri,(11) 4195-2096,anacristinafazzio.com.br,4.5,4,"Alameda Mamoré, 911 - Alphaville Industrial, Barueri - SP, 06454-040",https://maps.google.com/?cid=132827218765957679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
12,Andrade Gabriela Interiores,Arq,Barueri,(11) 98841-6675,andradegabriela.com,,,"Av. Andrômeda, 723 - Sl 215 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=774447471348122794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
13,Ap Arquitetura e Interiores,Arq,Barueri,(13) 99713-0173,,,,"R. Gabriela, 981 - Parque dos Camargos, Barueri - SP, 06436-280",https://maps.google.com/?cid=15146087079675649177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
14,Archis Arquitetura Promocional,Arq,Barueri,(11) 4191-0227,archis.com.br,5,1,"Avenida Sagitário, 138 - CONJUNTO 815/816 - TORRE CITY - ALPHA SQUARE - Alphaville Conde II, Barueri - SP, 06473-073",https://maps.google.com/?cid=12720396149104728430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
15,Archumã Arquitetura e Interiores Ltda,Arq,Barueri,(11) 99474-6772,,5,1,"Alameda Araguaia 2044, sala 506 - Torre 1 - Alphaville, Barueri - SP, 06455-000",https://maps.google.com/?cid=17721876135330209552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
16,Armazém da Arquitetura e Engenharia LTDA,Arq,Barueri,,,4.6,11,"R. Adelino Cardana, 293 - Sl 1612 - Bethaville I, Barueri - SP, 06401-147",https://maps.google.com/?cid=1282708561939194008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
17,Arquiteta Alphaville - Karoline Martins Arquitetura,Arq,Barueri,(11) 96689-0087,karolinemartins.com.br,5,14,"Alameda Araguaia, 2044 sala 201 Torre 2 - CEA Centro Empresarial Araguaia - Alphaville, Barueri - SP, 06455-906",https://maps.google.com/?cid=6908762152097711814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
18,Arquiteta Alphaville | Leonice Alves,Arq,Barueri,(11) 4154-6434,leonicealves.com.br,4.6,48,"Av. Cauaxi, 293 - Office 1616 - Alphaville, Barueri - SP, 06454-020",https://maps.google.com/?cid=11811876486350306421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
19,Arquiteta Eliana Viel,Arq,Barueri,(11) 97414-2995,,4.8,4,"Centro Comercial - Calçada das Violetas, 218 - F2 - Alphaville, Barueri - SP, 06475-000",https://maps.google.com/?cid=17379448128347013692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
20,Arquiteta Roberta Trida,Arq,Barueri,(11) 4193-5442,robertatrida.com.br,4.2,27,"Av. Cauaxi, 293 - Alphaville Industrial, Barueri - SP, 06454-020",https://maps.google.com/?cid=1588702776119622966&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
21,Arquiteta Vandreia Pironnet,Arq,Barueri,(65) 3325-2028,,,,"Avenida Presidente Tancredo A Neves 662 - N - Bethaville I, Barueri - MT, 78300-000",https://maps.google.com/?cid=15508470144976331118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
22,Arquiteto Alphaville | Alexandre Squassoni Arquitetura Construção e Reformas,Arq,Barueri,(11) 96397-2939,squassoni.com.br,5,1,"Av. Copacabana, 425 - Conj 417 - Alphaville, Barueri - SP, 06539-010",https://maps.google.com/?cid=3092684834620844769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
23,Arquiteto Alphaville | Giovanni Vespe Arquitetura,Arq,Barueri,(11) 97139-0516,giovannivespe.com.br,5,9,"Av. Andrômeda, 723 - Sala 1409 - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=12403091203066189710&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
24,Arquiteto Andrio Almeida,Arq,Barueri,,,2.7,3,"Jardim Florida, Barueri - SP, Brasil",https://maps.google.com/?cid=1031771164975195789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
25,Arquiteto Richard Iannini,Arq,Barueri,(11) 98233-6161,rciarq.com.br,5,2,"Calçada dos Gerânios, 114 - Alphaville Comercial, Barueri - SP, 06453-031",https://maps.google.com/?cid=11649673223749813030&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
26,Arquiteto Robson Ribeiro,Arq,Barueri,(11) 94279-4721,,5,2,"Av. Andrômeda, 885 - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=1011554439432486431&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
27,Arquiteto em Barueri Alphaville SP - Rafael Loddi | Roz Arquitetura | Projeto de Interiores,Arq,Barueri,(11) 98825-5555,api.whatsapp.com,4.9,42,"Al. Rio Negro, 1477 - 5ºAnd - Alphaville Industrial, Barueri - SP, 06454-000",https://maps.google.com/?cid=17567763454955432256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
28,ArquiteturA2,Arq,Barueri,(11) 99004-1156,arquitetura2.com.br,5,2,"R. Caldas Novas, 50 - Sl 117 - Bethaville I, Barueri - SP, 06404-301",https://maps.google.com/?cid=7715029941767108074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
29,Arquitetura e Urbanismo,Arq,Barueri,(11) 95425-5455,,1.5,2,"R. Antônio Pereira Tendeiro, 144 - Vila Pouso Alegre, Barueri - SP, 06402-070",https://maps.google.com/?cid=13900193469647096051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
30,Ateliê Tassia Botti | Arte e Arquitetura,Arq,Barueri,(11) 97452-6414,tassiabotti.com.br,5,20,"R. Adelino Cardana, 431 - Bethaville I, Barueri - SP, 06401-147",https://maps.google.com/?cid=18097324206625995654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
31,B Studio Arquitetura,Arq,Barueri,(11) 98764-9683,arqbrenolima.com,,,"Av. Andrômeda, 723 - Sl 2606 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=15757546506857137281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
32,BOX14 Arquitetura,Arq,Barueri,(11) 96600-8232,box14.com.br,5,1,"Al. Rio Negro, 1477 - 5º andar - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=11962997488330082739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
33,Benítez Corbal Arquitetura e Interiores,Arq,Barueri,(11) 99162-2076,,5,1,"Av. Andrômeda, 723 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=13910707567641549775&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
34,Bruna Menezes - Arquitetura e Interiores,Arq,Barueri,,instagram.com,5,21,"Av. Aruanã, 745 - Tamboré, Barueri - SP, 06460-010",https://maps.google.com/?cid=8647610865860842582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
35,Bruno Teles Arquitetura Residencial Alto Padrão,Arq,Barueri,(11) 99744-3033,arquitetobrunoteles.com.br,5,17,"Cond. Stadium - Al. Rio Negro, 1030 - Escr 206 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=16551838750847608984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
36,CArquitetura,Arq,Barueri,(11) 95030-4258,,5,16,"Al. Rio Negro - |, 1084 - sala A1 - Alphaville Industrial, Barueri - SP, 06454-000",https://maps.google.com/?cid=7093354209292364182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
37,CCosta Arquitetura,Arq,Barueri,(11) 98375-7222,,5,2,"R. Rio Grande do Sul, 205 - Vila Boa Vista, Barueri - SP, 06411-060",https://maps.google.com/?cid=3936923737791269629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
38,Camila Pimentel Arquitetura,Arq,Barueri,,,5,1,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=4870609675871789527&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
39,Casagrande Arquitetura e Engenharia,Arq,Barueri,(11) 97251-7994,sites.google.com,,,"Estrada Velha n, 3614 - Jardim Paulista, Barueri - SP, 06444-000",https://maps.google.com/?cid=4236780614161364615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
40,Conseil Arquitetura,Arq,Barueri,(11) 2321-5131,,4.8,4,"Alameda Araguaia, 2190 - conj 1309 - Tamboré, Barueri - SP, 06455-000",https://maps.google.com/?cid=166912111022947092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
41,"Construir ou Reformar N ENG; projeto Ambiental, Geotecnia, Estudo Estrutural e Projeto Arquitetônico.",Arq,Barueri,(11) 95456-0802,nabucoengenharia.com.br,5,5,"Av. Brg. Manoel Rodrigues Jordão, 825 - Silveira, Barueri - SP, 06433-010",https://maps.google.com/?cid=9840973194982823301&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
42,Creation Arquitetura e Interiores,Arq,Barueri,(11) 4118-5048,creationarquitetura.com.br,5,6,"Av. Andrômeda, 723 Alphaville Empresarial - 24° andar - Sala 2410 - Alphaville, Barueri - SP, 06473-900",https://maps.google.com/?cid=9120182863705503242&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
43,DLA Engenharia e Arquitetura,Arq,Barueri,(11) 91855-5089,dlaengenhariaorcam.wixsite.com,5,53,"Av. Cauaxi, 293 - Alphaville, Barueri - SP, 06454-020",https://maps.google.com/?cid=4075375276534897001&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
44,Daoca Arquitetura,Arq,Barueri,(11) 97522-7025,daocaarquitetura.com.br,5,6,"Al. Rio Negro, 503 - Sl 2020 - Alphaville, Barueri - SP, 06402-020",https://maps.google.com/?cid=588974242784359330&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
45,E-med Arquitetura Hospitalar,Arq,Barueri,(11) 5505-9700,emedproj.com.br,5,4,"Alameda Grajaú, 60 - Alphaville Industrial, Barueri - SP, 06454-050",https://maps.google.com/?cid=11399560819297703490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
46,Eliana Berardo Arquitetura,Arq,Barueri,(11) 4153-7902,,4.9,8,"Av. Sagitário, 138 - Alphaville Conde II, Barueri - SP, 06473-073",https://maps.google.com/?cid=17017044044499081908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
47,Emanuelle Guimarães - Arquitetura e Urbanismo,Arq,Barueri,,,5,1,"Alameda Milão, 50 - Alphaville Empresarial, Barueri - SP, 06475-100",https://maps.google.com/?cid=11559454118491313619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
48,Escritório de Arquitetura Dek3 arquitetura e interiores,Arq,Barueri,(11) 97355-7933,dek3arquitetura.com.br,4.7,28,"Av. Copacabana, 112 - Sl 1102 - Alphaville, Barueri - SP, 06472-001",https://maps.google.com/?cid=13147395070726792820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
49,F Padovan Arquitetura,Arq,Barueri,(11) 4193-2726,,,,"R. Vitórino Calegare, 113 - Jardim Mutinga, Barueri - SP, 06412-270",https://maps.google.com/?cid=16999659455550001960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
50,FERNANDA GUERTAS Arquitetura e Interiores,Arq,Barueri,(11) 99502-9532,fernandaguertas.com.br,5,5,"Av. Andrômeda, 723 - Sl 2611 - Alphaville Industrial, Barueri - SP, 06473-000",https://maps.google.com/?cid=10224891910757416848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
51,FEYAR ENGENHARIA E ARQUITETURA,Arq,Barueri,(11) 94124-3756,grupofeyar.com.br,,,"Condomínio Centro Comercial Alphaville - Alphaville, Barueri - SP, 06453-016",https://maps.google.com/?cid=9833591331623010803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
52,"FHO Engenharia e Arquitetura | Design de interiores, Consultoria e Execução de obras",Arq,Barueri,(11) 95221-2879,fhoengenhariaearquitetura.com.br,5,9,"Av. Andrômeda, 723 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=10269975517775505674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
53,Fabbricatore Arquitetura,Arq,Barueri,(11) 98400-4717,is.gd,5,1,"Av. Araguaia 762 Shopping Flamingo - sala 1S - Alphaville, Barueri - SP, 06400-000",https://maps.google.com/?cid=9448315752270428766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
54,Fabric Arquitetura e Construções,Arq,Barueri,(11) 97202-2814,fabricarquitetura.com.br,5,7,"Rua Caetés - Trevo da Petrobrás - Saída Km 20 - Rod. Pres. Castello Branco, 97 - Jardim Mutinga, Barueri - SP, 06463-020",https://maps.google.com/?cid=11214414196519411536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
55,Fernanda Vella Arquitetura,Arq,Barueri,(11) 99913-2724,fernandavella.com.br,5,1,"Alameda Itapecuru, 119 - 24b - Alphaville Industrial, Barueri - SP, 06454-080",https://maps.google.com/?cid=1018032816294242904&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
56,"Flávia Brandão - arquitetura, interiores e obras",Arq,Barueri,(11) 99614-2922,flarqui.wordpress.com,5,4,"R. Manila, 135 - São Fernando Residencia, Barueri - SP, 06448-090",https://maps.google.com/?cid=15043113553094471859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
57,GPCA Arquitetura,Arq,Barueri,(11) 95760-2263,gpcaarquitetura.com.br,,,"Av. Andrômeda, 723 - Cj.1515 e 1516 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=16861720213350197669&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
58,Gabriella Ponte l Arquitetura & Interiores,Arq,Barueri,(11) 98036-0151,gabriellaponte.com.br,5,9,"Av. Andrômeda, 723 - Sala 1516 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=9349485100811226467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
59,Giovanna Gogosz Arquitetura,Arq,Barueri,(11) 99112-5769,,5,1,"Av. Andrômeda, 885 - 323 - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=4102448643086492634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
60,Gomes Arquitetura & Engenharia,Arq,Barueri,(11) 97693-0484,gomesarquiteturaengenharia.com.br,5,4,"Edifício Beta Trade - R. Caldas Novas, 50 - Sl 32 - Bethaville I, Barueri - SP, 06410-020",https://maps.google.com/?cid=13068318884844929185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
61,HUMANA ARQUITETURA,Arq,Barueri,(11) 94576-7336,humanaarquitetura.com.br,5,1,"Alameda Leblon, 15 - Alphaville, Barueri - SP, 06472-003",https://maps.google.com/?cid=8462418125942605121&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
62,Hut Arquitetura e Interiores,Arq,Barueri,(11) 96700-1254,,5,2,"Rua Werner Goldberg, 157 - 11d - Jardim Esperanca, Barueri - SP, 06414-025",https://maps.google.com/?cid=4185958504808610177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
63,Igor Guerra Arquitetura,Arq,Barueri,(11) 4193-9225,igorguerra.com,3,2,"Av. Andrômeda, 855 - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=9645645794909613040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
64,Isabela Maioli | Arquitetura e Interiores,Arq,Barueri,(11) 94552-4991,isabelamaioli.com.br,5,7,"R. Rubem Braga, 58 - Alphaville, Barueri - SP, 06485-365",https://maps.google.com/?cid=7539656149665974380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
65,Jabuticaba estúdio de arquitetura,Arq,Barueri,(11) 99172-8671,jabuticabaestudio.com.br,5,4,"Al. Rio Negro, 503 - Sl 2020 - Alphaville, Barueri - SP, 06454-000",https://maps.google.com/?cid=11576799082393369028&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
66,Jaque Silva | Arquitetura e Interiores,Arq,Barueri,(11) 94545-4316,instagram.com,5,78,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=12920055056879407351&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
67,Jessica Leite Arquitetura,Arq,Barueri,(11) 4552-0602,jessicaleitearq.com,5,1,"Av. Andrômeda, 723 - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=12669293692084517306&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
68,José Lucena Arquitetura e Planejamento,Arq,Barueri,(11) 94546-8262,joselucena.com.br,5,6,"Av. Andrômeda, 885 - Alphaville Empresarial, Barueri - SP, 06473-000",https://maps.google.com/?cid=15031157679436296660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
69,Juan Jurado Arquitetura & Engenharia,Arq,Barueri,(11) 2680-0958,juanjurado.com.br,5,4,"Office Bethaville - Av. Trindade, 254 - Sl 518 - Bethaville I, Barueri - SP, 06404-326",https://maps.google.com/?cid=3910179846787081312&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
70,Julião Arquitetos,Arq,Barueri,(11) 3847-1910,juliaoarquitetos.com.br,5,6,"Av. Andrômeda, 885 - Conj 510 - Green Valley, Barueri - SP, 06473-000",https://maps.google.com/?cid=13444344922802776791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
71,Juntos Arquitetura e Interiores | Reforma de Studios,Arq,Barueri,(11) 96622-3561,juntosarquitetura.com.br,5,15,"Av. Andrômeda, 723 - Sl 1009 - Alphaville, Barueri - SP, 06473-000",https://maps.google.com/?cid=15282331033364019739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
72,Kaitazoff Arquitetura e Design,Arq,Barueri,(11) 97632-2492,kaitazoff.com.br,5,5,"Av. Copacabana, 268 - Alphaville, Barueri - SP, 06472-001",https://maps.google.com/?cid=12852105400102706638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
73,Kamila Estevam | Arquiteta em Alphaville | Interiores e Reformas,Arq,Barueri,(11) 91568-2191,kamilaestevamarquiteta.com.br,5,87,"Al. Rio Negro, 503 - Alphaville Industrial, Barueri - SP, 06454-000",https://maps.google.com/?cid=17250122743079141377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Nao iniciado
